portfolio	portfolioname	name	id	location	mw	mwvariance	proboff1	proboff2	proboff3	proboff4	fuelcost	varom	fixom	start	carbon	fuelmultiplier
1	Big Coal	FOUR_CORNERS	11	South	1900	0	0	0	0	0	35	1.5	8000	8000	1.1	1
1	Big Coal	ALAMITOS_7	12	South	250	0	0	0	0	0	72.22	1.5	0	0	0.85	1
1	Big Coal	HUNTINGTON_BEACH_1-2	13	South	300	0	0	0	0	0	39	1.5	2000	1500	0.46	1
1	Big Coal	HUNTINGTON_BEACH_5	14	South	150	0	0	0	0	0	65	1.5	2000	0	0.77	1
1	Big Coal	REDONDO_5-6	15	South	350	0	0	0	0	0	40.44	1.5	3000	1500	0.48	1
1	Big Coal	REDONDO_7-8	16	South	950	0	0	0	0	0	40.44	1.5	5000	4000	0.48	1
2	Big Gas	EL_SEGUNDO_1-2	21	South	400	0	0	0	0	0	43.33	1.5	1000	2000	0.51	1
2	Big Gas	EL_SEGUNDO_3-4	22	South	650	0	0	0	0	0	39.72	1.5	1000	4000	0.47	1
2	Big Gas	LONG_BEACH	23	South	550	0	0	0	0	0	52	0.5	2000	3000	0.61	1
2	Big Gas	NORTH_ISLAND	24	South	150	0	0	0	0	0	65	0.5	0	0	0.77	1
2	Big Gas	ENCINA	25	South	950	0	0	0	0	0	41.17	0.5	2000	4000	0.49	1
2	Big Gas	KEARNY	26	South	200	0	0	0	0	0	89.56	0.5	0	0	1.06	1
2	Big Gas	SOUTH_BAY	27	South	700	0	0	0	0	0	43.33	0.5	2000	2000	0.51	1
3	Bay Views	MORRO_BAY_1-2	31	North	335	0	0	0	0	0	38.28	0.5	2000	1500	0.45	1
3	Bay Views	MORRO_BAY_3-4	32	North	665	0	0	0	0	0	36.11	0.5	4000	3000	0.43	1
3	Bay Views	MOSS_LANDING_6	33	North	750	0	0	0	0	0	31.06	1.5	8000	6000	0.37	1
3	Bay Views	MOSS_LANDING_7	34	North	750	0	0	0	0	0	31.06	1.5	8000	6000	0.37	1
3	Bay Views	OAKLAND	35	North	150	0	0	0	0	0	60.67	0.5	0	0	0.72	1
4	Beachfront	COOLWATER	41	South	650	0	0	0	0	0	41.89	0.5	2000	3000	0.49	1
4	Beachfront	ETIWANDA_1-4	42	South	850	0	0	0	0	0	41.17	1.5	8000	4000	0.49	1
4	Beachfront	ETIWANDA_5	43	South	150	0	0	0	0	0	61.39	1.5	1000	0	0.72	1
4	Beachfront	ELLWOOD	44	South	300	0	0	0	0	0	75.11	0.5	0	0	0.89	1
4	Beachfront	MANDALAY_1-2	45	South	300	0	0	0	0	0	37.56	1.5	1000	1000	0.44	1
4	Beachfront	MANDALAY_3	46	South	150	0	0	0	0	0	50.56	1.5	1000	0	0.6	1
4	Beachfront	ORMOND_BEACH_1	47	South	700	0	0	0	0	0	37.56	0.5	7000	3000	0.44	1
4	Beachfront	ORMOND_BEACH_2	48	South	700	0	0	0	0	0	37.56	0.5	7000	3000	0.44	1
5	East Bay	PITTSBURGH_1-4	51	North	650	0	0	0	0	0	40.44	0.5	2500	3000	0.48	1
5	East Bay	PITTSBURGH_5-6	52	North	650	0	0	0	0	0	36.11	0.5	2500	3000	0.43	1
5	East Bay	PITTSBURGH_7	53	North	700	0	0	0	0	0	59.22	0.5	4000	3500	0.7	1
5	East Bay	CONTRA_COSTA_4-5	54	North	150	0	0	0	0	0	57.78	0.5	1000	0	0.68	1
5	East Bay	CONTRA_COSTA_6-7	55	North	700	0	0	0	0	0	39	0.5	6000	3500	0.46	1
5	East Bay	POTRERO_HILL	56	North	150	0	0	0	0	0	69.33	0.5	0	0	0.82	1
6	Old Timers	BIG_CREEK	61	South	1000	0	0	0	0	0	0	0	15000	0	0	1
6	Old Timers	MOHAVE_1	62	South	750	0	0	0	0	0	30	4.5	15000	15000	0.94	1
6	Old Timers	MOHAVE_2	63	South	750	0	0	0	0	0	30	4.5	15000	15000	0.94	1
6	Old Timers	HIGHGROVE	64	South	150	0	0	0	0	0	49.11	0.5	0	0	0.58	1
6	Old Timers	SAN_BERNADINO	65	South	100	0	0	0	0	0	53.44	0.5	0	0	0.63	1
7	Fossil Light	HUMBOLDT	71	North	150	0	0	0	0	0	46.94	0.5	0	0	0.55	1
7	Fossil Light	HELMS	72	North	800	0	0	0	0	0	0	0.5	15000	0	0	1
7	Fossil Light	HUNTERS_POINT_1-2	73	North	150	0	0	0	0	0	47.67	1.5	1000	0	0.56	1
7	Fossil Light	HUNTERS_POINT_4	74	North	250	0	0	0	0	0	74.39	1.5	1000	1000	0.88	1
7	Fossil Light	Diablo_Canyon_1	75	North	1000	0	0	0	0	0	7.5	4	20000	4000	0	1
